"GEOID10","OBAMA_SHAR","NEAR_DIST"
"1701112001",0.4947368421,8391.92634391
"1701107002",0.6058823529,2880.53315084
"1701113005",0.5803278689,509.657347928
"1701114001",0.5392670157,5064.72701301
"1701115004",0.4863731656,316.027365939
"1701115006",0.4727272727,2982.27320213
"1701115005",0.4755244755,705.978283339
"1701116002",0.4397163121,1588.58469265
"1701117001",0.535637149,1543.68341126
"1701118001",0.5506072874,878.76554589
"1701113010",0.6149425287,468.267782513
"1701113001",0.7223974763,104.743706861
"1701113002",0.667638484,58.0367055839
"1701113008",0.7066115702,589.431512409
"1701113006",0.7003546099,781.649720976
"1701113009",0.6361386139,263.325969054
"1701113003",0.6737044146,1869.76042232
"1701113004",0.6454849498,209.218531552
"1701114003",0.7777777778,455.22830683
"1701113007",0.6531100478,42.8540065326
"1701114002",0.641337386,2112.03050614
"1701116001",0.4602739726,410.618956934
"1701115001",0.3916666667,4045.83806759
"1701107001",0.5542168675,1302.43283276
"1701115002",0.4796747967,1993.47135076
"1701115003",0.428057554,815.537670775
"1701115007",0.5377777778,1432.72595437
"1701115009",0.4228934817,4001.93426352
"1701115008",0.4270462633,2116.96388927
"1701120001",0.5153846154,2047.76094476
"1701300007",0.5295404814,8773.3304267
"1701300005",0.5768645358,12221.3023516
"1701300006",0.5,7591.0132615
"1701300008",0.4864864865,7721.78311695
"1701300001",0.336,8081.26930993
"1701300002",0.4698795181,10078.508538
"1701300004",0.6254295533,9049.22529108
"1701300003",0.6075085324,14841.9857627
"17015FH00",0.4414414414,4515.63559923
"17015YK00",0.5665914221,3126.47573688
"17015MC02",0.5363984674,1112.20182243
"17015MC01",0.5678571429,2052.68144689
"17015MC03",0.5939393939,713.098810233
"17015SA06",0.6938202247,1150.93008917
"17015SA04",0.586102719,1650.19184829
"17015WN00",0.5687203791,1664.21171831
"17015SA01",0.5947368421,204.214625708
"17015SA02",0.6011560694,545.608143617
"17015SA03",0.6818181818,208.893830865
"17015SA05",0.5794701987,654.781101103
"17015CS01",0.4013605442,3053.09580301
"17015RL02",0.494047619,6770.81592824
"17015FD00",0.334841629,6880.94732736
"17015CS02",0.4917012448,1577.52886416
"17015WY02",0.4897959184,2068.33409627
"17015EK00",0.4178082192,1494.26968723
"17015WY01",0.4782608696,2865.54666817
"17015SM00",0.4923076923,2351.59200346
"17015WD00",0.44,9093.16748484
"17015RL01",0.5507559395,4509.92781153
"1701700308",0.5340909091,1784.63300757
"1701701012",0.4918918919,16946.6652634
"1701700518",0.520661157,8701.15113729
"1701700817",0.4162162162,15215.7150623
"1701701115",0.501216545,12658.507779
"1701701113",0.5314685315,15854.4914007
"1701701114",0.4923076923,11247.3456802
"1701700111",0.3861386139,4818.99356236
"1701700609",0.4967741935,6261.32484492
"1701700916",0.4864864865,8275.6309967
"1701700220",0.4227941176,4008.66993588
"1701700719",0.3913043478,10363.1796501
"1701700221",0.4327628362,304.082789019
